FIRE HALL NAME,LATITUDE,LONGITUDE,ADDRESS
No 1,49.2757557879496,-123.089633564924,900 Heatley Av
No 2,49.2833989343018,-123.100028850031,199 Main St
No 3,49.2599716555727,-123.1034324331,2801 Quebec St
No 4,49.2628710568171,-123.137578980719,1475 W 10th Av
No 5,49.219883858393,-123.041750823072,3090 E 54th Av
No 6,49.2864877423013,-123.134786345561,1001 Nicola St
No 7,49.2835249047624,-123.125930803993,1090 Haro St
No 8,49.2780606555938,-123.117639437094,895 Hamilton St
No 9,49.2681117935618,-123.066183093448,1805 Victoria Drive
No 12,49.2647927430118,-123.173614488597,2460 Balaclava St
No 13,49.2488906817429,-123.088063456192,4013 Prince Albert ST
No 14,49.2763886663577,-123.046353700482,2804 Venables St
No 15,49.2508855516351,-123.041230454628,3003 E 22nd Av
No 17,49.2198056785493,-123.076718029789,7070 Knight St
No 18,49.2372716521754,-123.136612705885,1375 W 38th Av
No 19,49.2616794433299,-123.205942401991,4396 W 12th Av
No 20,49.2357791498382,-123.065052263309,5402 Victoria Drive
No 21,49.2373032465887,-123.173281362176,5425 Carnarvon St
No 22,49.2174253755325,-123.129770081888,1005 W 59th Av
No 10,49.258019,-123.238169,2992 Wesbrook Mall
